#
#Page 0: (Mixduino R5)
#
Device,Id,Type,TraktorCommand,AssignmentExpression,ConditionExpression,Interaction,MappedTo,Comment
0,60,In,Tempo Adjust,Deck A,,Fader / Knob - Direct,Ch11.CC.024_I,
0,61,In,Monitor Mix Adjust,Global,,Fader / Knob - Direct,Ch11.CC.025,
0,62,In,Monitor Volume Adjust,Global,,Fader / Knob - Direct,Ch11.CC.015,
0,63,In,Volume Adjust,Deck C,,Fader / Knob - Direct,Ch11.CC.026,
0,64,In,Volume Adjust,Deck B,,Fader / Knob - Direct,Ch11.CC.011,
0,84,In,High Adjust,Deck C,,Fader / Knob - Direct,Ch11.CC.010,
0,85,In,High Adjust,Deck B,,Fader / Knob - Direct,Ch11.CC.009,
0,86,In,High Adjust,Deck A,,Fader / Knob - Direct,Ch11.CC.008,
0,87,In,Master Volume Adjust,Global,,Fader / Knob - Direct,Ch11.CC.028,
0,88,Out,Hotcue 2 Type [None; Loop],Deck A,,LED - Output,Ch14.CC.001,
0,93,Out,Hotcue 3 Type [None; Loop],Deck A,,LED - Output,Ch14.CC.002,
0,94,Out,Hotcue 4 Type [None; Loop],Deck A,,LED - Output,Ch14.CC.003,
0,95,Out,Hotcue 5 Type [None; Loop],Deck A,,LED - Output,Ch14.CC.004,
0,96,Out,Hotcue 6 Type [None; Loop],Deck A,,LED - Output,Ch14.CC.005,
0,97,Out,Hotcue 7 Type [None; Loop],Deck A,,LED - Output,Ch14.CC.006,
0,98,Out,Hotcue 8 Type [None; Loop],Deck A,,LED - Output,Ch14.CC.007,
0,99,Out,Hotcue 1 Type [None; Loop],Deck A,,LED - Output,Ch14.CC.000,
0,102,Out,Hotcue 4 Type [None; Loop],Deck C,M1=1,LED - Output,Ch14.CC.013,
0,103,Out,Hotcue 5 Type [None; Loop],Deck C,M1=1,LED - Output,Ch14.CC.014,
0,105,Out,Hotcue 6 Type [None; Loop],Deck C,M1=1,LED - Output,Ch14.CC.015,
0,106,Out,Hotcue 7 Type [None; Loop],Deck C,M1=1,LED - Output,Ch14.CC.016,
0,107,Out,Hotcue 8 Type [None; Loop],Deck C,M1=1,LED - Output,Ch14.CC.017,
0,108,Out,Hotcue 1 Type [None; Loop],Deck C,M1=1,LED - Output,Ch14.CC.010,
0,182,Out,Hotcue 2 Type [None; Loop],Deck B,M1=0,LED - Output,Ch14.CC.011,
0,183,Out,Hotcue 3 Type [None; Loop],Deck B,M1=0,LED - Output,Ch14.CC.012,
0,184,Out,Hotcue 4 Type [None; Loop],Deck B,M1=0,LED - Output,Ch14.CC.013,
0,185,Out,Hotcue 5 Type [None; Loop],Deck B,M1=0,LED - Output,Ch14.CC.014,
0,186,Out,Hotcue 6 Type [None; Loop],Deck B,M1=0,LED - Output,Ch14.CC.015,
0,187,Out,Hotcue 7 Type [None; Loop],Deck B,M1=0,LED - Output,Ch14.CC.016,
0,188,Out,Hotcue 8 Type [None; Loop],Deck B,M1=0,LED - Output,Ch14.CC.017,
0,189,Out,Hotcue 1 Type [None; Loop],Deck B,M1=0,LED - Output,Ch14.CC.010,
0,110,In,Play/Pause (Deck Common) [Toggle],Deck A,,Button - Toggle,Ch05.Note.F#-1,
0,112,In,Cue [Hold],Deck A,,Button - Hold,Ch05.Note.G-1,
0,114,In,Sync On [Toggle],Deck A,,Button - Toggle,Ch05.Note.E-1,
0,133,In,Play/Pause (Deck Common) [Toggle],Deck B,M1=0,Button - Toggle,Ch06.Note.C#-1,
0,134,In,Cue [Hold],Deck B,M1=0,Button - Hold,Ch06.Note.C-1,
0,135,In,Sync On [Toggle],Deck B,M1=0,Button - Toggle,Ch06.Note.F#-1,
0,136,In,Play/Pause (Deck Common) [Toggle],Deck C,M1=1,Button - Toggle,Ch06.Note.C#-1,
0,137,In,Cue [Hold],Deck C,M1=1,Button - Hold,Ch06.Note.C-1,
0,138,In,Sync On [Toggle],Deck C,M1=1,Button - Toggle,Ch06.Note.F#-1,
0,118,In,Only Browser On [Toggle],Global,,Button - Toggle,Ch07.Note.A-1,
0,263,In,Only Browser On = Off,Global,,Button - Direct,Ch07.Note.E-1,
0,265,In,Only Browser On = Off,Global,,Button - Direct,Ch07.Note.D#-1,
0,120,In,Modifier #1 = 1,Global,M1=0,Button - Direct,Ch06.Note.G-1,switch deck B - C
0,125,In,Modifier #1 = 0,Global,M1=1,Button - Direct,Ch06.Note.G-1,
0,126,In,Modifier #2 [Hold] = 1,Global,,Button - Hold,Ch05.Note.D-1,shift
0,146,In,Load Selected (Deck Common),Deck A,,Button - Trigger,Ch07.Note.E-1,
0,150,In,Load Selected (Deck Common),Deck B,M1=0,Button - Trigger,Ch07.Note.D#-1,
0,154,In,Load Selected (Deck Common),Deck C,M1=1,Button - Trigger,Ch07.Note.D#-1,
0,179,In,Monitor Cue On [Toggle],Deck A,,Button - Toggle,Ch05.Note.C#-1,
0,181,In,Monitor Cue On [Toggle],Deck C,,Button - Toggle,Ch06.Note.F-1,
0,180,In,Monitor Cue On [Toggle],Deck B,,Button - Toggle,Ch05.Note.C-1,
0,258,Out,Deck Is Loaded [Off; On],Deck A,,LED - Output,Ch01.Note.C3,
0,271,Out,Deck Is Loaded [Off; On],Deck B,M1=0,LED - Output,Ch01.Note.C#3,
0,279,Out,Deck Is Loaded [Off; On],Deck C,M1=1,LED - Output,Ch01.Note.C#3,
0,283,Out,Beat Phase [-0.1; 0.1],Deck A,,LED - Output,Ch01.Note.C3,
0,286,Out,Beat Phase [-0.1; 0.1],Deck B,M1=0,LED - Output,Ch01.Note.C#3,
0,288,Out,Beat Phase [-0.1; 0.1],Deck C,M1=1,LED - Output,Ch01.Note.C#3,
0,290,Out,Loop Active On [Off; On],Deck A,,LED - Output,Ch06.Note.E3,
0,293,Out,Loop Active On [Off; On],Deck B,M1=0,LED - Output,Ch06.Note.F3,
0,295,Out,Loop Active On [Off; On],Deck C,M1=1,LED - Output,Ch06.Note.F3,
0,296,In,Loop Active On [Toggle],Deck A,,Button - Toggle,Ch05.Note.D#-1,
0,299,In,Loop Active On [Toggle],Deck B,M1=0,Button - Toggle,Ch06.Note.D#-1,
0,301,In,Loop Active On [Toggle],Deck C,M1=1,Button - Toggle,Ch06.Note.D#-1,
0,308,In,Loop Size Select + Set = 4,Deck A,Is In Active Loop [Deck A]=Off,Button - Direct,Ch05.Note.D#-1,
0,311,In,Loop Size Select + Set = 4,Deck B,M1=0 AND Is In Active Loop [Deck B]=Off,Button - Direct,Ch06.Note.D#-1,
0,313,In,Loop Size Select + Set = 4,Deck C,M1=1 AND Is In Active Loop [Deck C]=Off,Button - Direct,Ch06.Note.D#-1,
0,334,In,Jog Turn,Deck A,,Fader / Knob - Relative,Ch07.CC.014,touchbar left
0,336,In,Jog Turn,Deck B,M1=0,Fader / Knob - Relative,Ch07.CC.015,touchbar right
0,338,In,Jog Turn,Deck C,M1=1,Fader / Knob - Relative,Ch07.CC.015,touchbar right
0,405,Out,Deck Pre-Fader Level (L+R) [0; 1],Deck A,,LED - Output,Ch12.CC.000,
0,406,Out,Deck Pre-Fader Level (L+R) [0; 1],Deck B,,LED - Output,Ch12.CC.001,
0,407,Out,Deck Pre-Fader Level (L+R) [0; 1],Deck C,,LED - Output,Ch12.CC.002,
0,408,Out,Master Out Level (L) [0; 1],Global,,LED - Output,Ch12.CC.003,
0,409,Out,Master Out Level (R) [0; 1],Global,,LED - Output,Ch12.CC.004,
0,428,Out,Deck Is Loaded [Off; On],Deck A,,LED - Output,Ch01.Note.D3,
0,431,Out,Deck Is Loaded [Off; On],Deck B,M1=0,LED - Output,Ch01.Note.D#3,
0,433,Out,Deck Is Loaded [Off; On],Deck C,M1=1,LED - Output,Ch01.Note.D#3,
0,434,In,Dry/Wet Adjust (FX Unit),FX Unit 1,,Fader / Knob - Direct,Ch11.CC.000,
0,435,In,Knob 1,FX Unit 1,,Fader / Knob - Direct,Ch11.CC.001,
0,436,In,Knob 2,FX Unit 1,,Fader / Knob - Direct,Ch11.CC.002,
0,437,In,Button 1 [Toggle],FX Unit 1,,Button - Toggle,Ch07.Note.F-1,
0,438,Out,Button 1 [Off; On],FX Unit 1,,LED - Output,Ch06.Note.G2,
0,439,In,Button 2 [Toggle],FX Unit 1,,Button - Toggle,Ch07.Note.F#-1,
0,440,Out,Button 2 [Off; On],FX Unit 1,,LED - Output,Ch06.Note.G#2,
0,441,In,Dry/Wet Adjust (FX Unit),FX Unit 2,,Fader / Knob - Direct,Ch11.CC.027,
0,442,In,Knob 1,FX Unit 2,,Fader / Knob - Direct,Ch11.CC.006,
0,443,In,Knob 2,FX Unit 2,,Fader / Knob - Direct,Ch11.CC.007,
0,444,In,Button 1 [Toggle],FX Unit 2,,Button - Toggle,Ch07.Note.C-1,
0,445,Out,Button 1 [Off; On],FX Unit 2,,LED - Output,Ch06.Note.A#2,
0,446,In,Button 2 [Toggle],FX Unit 2,,Button - Toggle,Ch07.Note.C#-1,
0,447,Out,Button 2 [Off; On],FX Unit 2,,LED - Output,Ch06.Note.B2,
#
#Page 1: (Mixduino Pads)
#
1,1,In,Select/Set+Store Hotcue [Hold] = Hotcue1,Deck A,,Button - Hold,Ch05.Note.C0,
1,37,In,Tempo Bend [Hold] = Down,Deck A,,Button - Hold,Ch05.Note.E2,
1,38,In,Tempo Bend [Hold] = Up,Deck A,,Button - Hold,Ch05.Note.F2,
1,17,In,Loop Size Selector = 1/2,Deck A,,Button - Direct,Ch05.Note.G#0,
1,18,In,Loop Size Selector = 1,Deck A,,Button - Direct,Ch05.Note.A0,
1,19,In,Loop Size Selector = 2,Deck A,,Button - Direct,Ch05.Note.A#0,
1,20,In,Loop Size Selector = 4,Deck A,,Button - Direct,Ch05.Note.B0,
1,21,In,Loop Size Selector = 8,Deck A,,Button - Direct,Ch05.Note.C1,
1,22,In,Loop Size Selector = 16,Deck A,,Button - Direct,Ch05.Note.C#1,
1,23,In,Loop Size Selector = 32,Deck A,,Button - Direct,Ch05.Note.D1,
1,24,In,Loop Active On = Off,Deck A,,Button - Direct,Ch05.Note.D#1,
1,25,In,Beatjump [Hold] = -1/2,Deck A,,Button - Hold,Ch05.Note.E1,
1,26,In,Beatjump [Hold] = -1,Deck A,,Button - Hold,Ch05.Note.F1,
1,27,In,Beatjump [Hold] = -4,Deck A,,Button - Hold,Ch05.Note.F#1,
1,28,In,Beatjump [Hold] = -16,Deck A,,Button - Hold,Ch05.Note.G1,
1,29,In,Beatjump [Hold] = +1/2,Deck A,,Button - Hold,Ch05.Note.G#1,
1,30,In,Beatjump [Hold] = +1,Deck A,,Button - Hold,Ch05.Note.A1,
1,31,In,Beatjump [Hold] = +4,Deck A,,Button - Hold,Ch05.Note.A#1,
1,32,In,Beatjump [Hold] = +16,Deck A,,Button - Hold,Ch05.Note.B1,
1,33,In,Tempo Range Selector = 8%,Deck A,,Button - Direct,Ch05.Note.C2,
1,34,In,Tempo Range Selector = 8%,Deck A,,Button - Direct,Ch05.Note.C#2,
1,35,In,Tempo Range Selector = 8%,Deck A,,Button - Direct,Ch05.Note.D2,
1,36,In,Tempo Range Selector = 8%,Deck A,,Button - Direct,Ch05.Note.D#2,
1,2,In,Select/Set+Store Hotcue [Hold] = Hotcue2,Deck A,,Button - Hold,Ch05.Note.C#0,
1,3,In,Select/Set+Store Hotcue [Hold] = Hotcue3,Deck A,,Button - Hold,Ch05.Note.D0,
1,4,In,Select/Set+Store Hotcue [Hold] = Hotcue4,Deck A,,Button - Hold,Ch05.Note.D#0,
1,5,In,Select/Set+Store Hotcue [Hold] = Hotcue5,Deck A,,Button - Hold,Ch05.Note.E0,
1,6,In,Select/Set+Store Hotcue [Hold] = Hotcue6,Deck A,,Button - Hold,Ch05.Note.F0,
1,7,In,Select/Set+Store Hotcue [Hold] = Hotcue7,Deck A,,Button - Hold,Ch05.Note.F#0,
1,8,In,Select/Set+Store Hotcue [Hold] = Hotcue8,Deck A,,Button - Hold,Ch05.Note.G0,
1,9,In,Delete Hotcue = Hotcue1,Deck A,M2=1,Button - Direct,Ch05.Note.C0,
1,10,In,Delete Hotcue = Hotcue2,Deck A,M2=1,Button - Direct,Ch05.Note.C#0,
1,11,In,Delete Hotcue = Hotcue3,Deck A,M2=1,Button - Direct,Ch05.Note.D0,
1,12,In,Delete Hotcue = Hotcue4,Deck A,M2=1,Button - Direct,Ch05.Note.D#0,
1,13,In,Delete Hotcue = Hotcue5,Deck A,M2=1,Button - Direct,Ch05.Note.E0,
1,14,In,Delete Hotcue = Hotcue6,Deck A,M2=1,Button - Direct,Ch05.Note.F0,
1,15,In,Delete Hotcue = Hotcue7,Deck A,M2=1,Button - Direct,Ch05.Note.F#0,
1,16,In,Delete Hotcue = Hotcue8,Deck A,M2=1,Button - Direct,Ch05.Note.G0,
1,39,In,Select/Set+Store Hotcue [Hold] = Hotcue1,Deck B,,Button - Hold,Ch06.Note.C0,
1,40,In,Tempo Bend [Hold] = Down,Deck B,,Button - Hold,Ch06.Note.E2,
1,41,In,Tempo Bend [Hold] = Up,Deck B,,Button - Hold,Ch06.Note.F2,
1,42,In,Loop Size Selector = 1/2,Deck B,,Button - Direct,Ch06.Note.G#0,
1,43,In,Loop Size Selector = 1,Deck B,,Button - Direct,Ch06.Note.A0,
1,44,In,Loop Size Selector = 2,Deck B,,Button - Direct,Ch06.Note.A#0,
1,45,In,Loop Size Selector = 4,Deck B,,Button - Direct,Ch06.Note.B0,
1,46,In,Loop Size Selector = 8,Deck B,,Button - Direct,Ch06.Note.C1,
1,47,In,Loop Size Selector = 16,Deck B,,Button - Direct,Ch06.Note.C#1,
1,48,In,Loop Size Selector = 32,Deck B,,Button - Direct,Ch06.Note.D1,
1,49,In,Loop Active On = Off,Deck B,,Button - Direct,Ch06.Note.D#1,
1,50,In,Beatjump [Hold] = -1/2,Deck B,,Button - Hold,Ch06.Note.E1,
1,51,In,Beatjump [Hold] = -1,Deck B,,Button - Hold,Ch06.Note.F1,
1,52,In,Beatjump [Hold] = -4,Deck B,,Button - Hold,Ch06.Note.F#1,
1,53,In,Beatjump [Hold] = -16,Deck B,,Button - Hold,Ch06.Note.G1,
1,54,In,Beatjump [Hold] = +1/2,Deck B,,Button - Hold,Ch06.Note.G#1,
1,55,In,Beatjump [Hold] = +1,Deck B,,Button - Hold,Ch06.Note.A1,
1,56,In,Beatjump [Hold] = +4,Deck B,,Button - Hold,Ch06.Note.A#1,
1,57,In,Beatjump [Hold] = +16,Deck B,,Button - Hold,Ch06.Note.B1,
1,58,In,Tempo Range Selector = 8%,Deck B,,Button - Direct,Ch06.Note.C2,
1,59,In,Tempo Range Selector = 8%,Deck B,,Button - Direct,Ch06.Note.C#2,
1,60,In,Tempo Range Selector = 8%,Deck B,,Button - Direct,Ch06.Note.D2,
1,61,In,Tempo Range Selector = 8%,Deck B,,Button - Direct,Ch06.Note.D#2,
1,62,In,Select/Set+Store Hotcue [Hold] = Hotcue2,Deck B,,Button - Hold,Ch06.Note.C#0,
1,63,In,Select/Set+Store Hotcue [Hold] = Hotcue3,Deck B,,Button - Hold,Ch06.Note.D0,
1,64,In,Select/Set+Store Hotcue [Hold] = Hotcue4,Deck B,,Button - Hold,Ch06.Note.D#0,
1,65,In,Select/Set+Store Hotcue [Hold] = Hotcue5,Deck B,,Button - Hold,Ch06.Note.E0,
1,66,In,Select/Set+Store Hotcue [Hold] = Hotcue6,Deck B,,Button - Hold,Ch06.Note.F0,
1,67,In,Select/Set+Store Hotcue [Hold] = Hotcue7,Deck B,,Button - Hold,Ch06.Note.F#0,
1,68,In,Select/Set+Store Hotcue [Hold] = Hotcue8,Deck B,,Button - Hold,Ch06.Note.G0,
1,69,In,Delete Hotcue = Hotcue1,Deck B,M2=1,Button - Direct,Ch06.Note.C0,
1,70,In,Delete Hotcue = Hotcue2,Deck B,M2=1,Button - Direct,Ch06.Note.C#0,
1,71,In,Delete Hotcue = Hotcue3,Deck B,M2=1,Button - Direct,Ch06.Note.D0,
1,72,In,Delete Hotcue = Hotcue4,Deck B,M2=1,Button - Direct,Ch06.Note.D#0,
1,73,In,Delete Hotcue = Hotcue5,Deck B,M2=1,Button - Direct,Ch06.Note.E0,
1,74,In,Delete Hotcue = Hotcue6,Deck B,M2=1,Button - Direct,Ch06.Note.F0,
1,75,In,Delete Hotcue = Hotcue7,Deck B,M2=1,Button - Direct,Ch06.Note.F#0,
1,76,In,Delete Hotcue = Hotcue8,Deck B,M2=1,Button - Direct,Ch06.Note.G0,
1,77,In,Select/Set+Store Hotcue [Hold] = Hotcue1,Deck C,,Button - Hold,Ch07.Note.C0,
1,78,In,Tempo Bend [Hold] = Down,Deck C,,Button - Hold,Ch07.Note.E2,
1,79,In,Tempo Bend [Hold] = Up,Deck C,,Button - Hold,Ch07.Note.F2,
1,80,In,Loop Size Selector = 1/2,Deck C,,Button - Direct,Ch07.Note.G#0,
1,81,In,Loop Size Selector = 1,Deck C,,Button - Direct,Ch07.Note.A0,
1,82,In,Loop Size Selector = 2,Deck C,,Button - Direct,Ch07.Note.A#0,
1,83,In,Loop Size Selector = 4,Deck C,,Button - Direct,Ch07.Note.B0,
1,84,In,Loop Size Selector = 8,Deck C,,Button - Direct,Ch07.Note.C1,
1,85,In,Loop Size Selector = 16,Deck C,,Button - Direct,Ch07.Note.C#1,
1,86,In,Loop Size Selector = 32,Deck C,,Button - Direct,Ch07.Note.D1,
1,87,In,Loop Active On = Off,Deck C,,Button - Direct,Ch07.Note.D#1,
1,88,In,Beatjump [Hold] = -1/2,Deck C,,Button - Hold,Ch07.Note.E1,
1,89,In,Beatjump [Hold] = -1,Deck C,,Button - Hold,Ch07.Note.F1,
1,90,In,Beatjump [Hold] = -4,Deck C,,Button - Hold,Ch07.Note.F#1,
1,91,In,Beatjump [Hold] = -16,Deck C,,Button - Hold,Ch07.Note.G1,
1,92,In,Beatjump [Hold] = +1/2,Deck C,,Button - Hold,Ch07.Note.G#1,
1,93,In,Beatjump [Hold] = +1,Deck C,,Button - Hold,Ch07.Note.A1,
1,94,In,Beatjump [Hold] = +4,Deck C,,Button - Hold,Ch07.Note.A#1,
1,95,In,Beatjump [Hold] = +16,Deck C,,Button - Hold,Ch07.Note.B1,
1,96,In,Tempo Range Selector = 8%,Deck C,,Button - Direct,Ch07.Note.C2,
1,97,In,Tempo Range Selector = 8%,Deck C,,Button - Direct,Ch07.Note.C#2,
1,98,In,Tempo Range Selector = 8%,Deck C,,Button - Direct,Ch07.Note.D2,
1,99,In,Tempo Range Selector = 8%,Deck C,,Button - Direct,Ch07.Note.D#2,
1,100,In,Select/Set+Store Hotcue [Hold] = Hotcue2,Deck C,,Button - Hold,Ch07.Note.C#0,
1,101,In,Select/Set+Store Hotcue [Hold] = Hotcue3,Deck C,,Button - Hold,Ch07.Note.D0,
1,102,In,Select/Set+Store Hotcue [Hold] = Hotcue4,Deck C,,Button - Hold,Ch07.Note.D#0,
1,103,In,Select/Set+Store Hotcue [Hold] = Hotcue5,Deck C,,Button - Hold,Ch07.Note.E0,
1,104,In,Select/Set+Store Hotcue [Hold] = Hotcue6,Deck C,,Button - Hold,Ch07.Note.F0,
1,105,In,Select/Set+Store Hotcue [Hold] = Hotcue7,Deck C,,Button - Hold,Ch07.Note.F#0,
1,106,In,Select/Set+Store Hotcue [Hold] = Hotcue8,Deck C,,Button - Hold,Ch07.Note.G0,
1,107,In,Delete Hotcue = Hotcue1,Deck C,M2=1,Button - Direct,Ch07.Note.C0,
1,108,In,Delete Hotcue = Hotcue2,Deck C,M2=1,Button - Direct,Ch07.Note.C#0,
1,109,In,Delete Hotcue = Hotcue3,Deck C,M2=1,Button - Direct,Ch07.Note.D0,
1,110,In,Delete Hotcue = Hotcue4,Deck C,M2=1,Button - Direct,Ch07.Note.D#0,
1,111,In,Delete Hotcue = Hotcue5,Deck C,M2=1,Button - Direct,Ch07.Note.E0,
1,112,In,Delete Hotcue = Hotcue6,Deck C,M2=1,Button - Direct,Ch07.Note.F0,
1,113,In,Delete Hotcue = Hotcue7,Deck C,M2=1,Button - Direct,Ch07.Note.F#0,
1,114,In,Delete Hotcue = Hotcue8,Deck C,M2=1,Button - Direct,Ch07.Note.G0,
